account_id,user_id,signup_date,churn_date,plan_at_churn,arr_at_churn,team_size_at_churn,icp_fit_score,signup_source,persona,first_value_event_hit,days_to_first_value,activation_event_hit,last_session_date,sessions_30d_pre_churn,support_tickets_30d_pre_churn,nps_score_last,churn_reason_self_reported
a_1001,u_2001,2026-01-12,2026-04-08,starter,468,2,0.82,referral,sdr-lead,true,1,true,2026-04-02,2,1,7,"team consolidated tools"
a_1002,u_2002,2026-01-15,2026-04-15,team,1188,4,0.91,organic,founder-led,true,0,true,2026-04-10,4,2,8,"price too high relative to usage"
a_1003,u_2003,2026-01-20,2026-04-21,starter,468,1,0.34,paid-search,marketer-led,false,,false,2026-02-14,0,0,4,"never figured out how to use it"
a_1004,u_2004,2026-01-22,2026-04-22,starter,468,1,0.41,paid-search,marketer-led,false,,false,2026-02-08,0,0,3,"not what I expected"
a_1005,u_2005,2026-02-01,2026-04-29,team,1188,5,0.88,referral,founder-led,true,1,true,2026-04-25,6,3,6,"champion left the company"
a_1006,u_2006,2026-02-03,2026-04-30,starter,468,1,0.29,paid-search,sdr-lead,false,,false,2026-02-16,0,0,2,"too complicated"
a_1007,u_2007,2026-02-08,2026-05-02,starter,468,2,0.78,organic,sdr-lead,true,2,true,2026-04-18,3,1,7,"competitor offered free year"
a_1008,u_2008,2026-02-11,2026-05-04,starter,468,1,0.36,paid-search,marketer-led,false,,false,2026-02-22,0,1,3,"didn't fit my workflow"
a_1009,u_2009,2026-02-15,2026-05-05,team,1188,3,0.85,referral,founder-led,true,1,true,2026-04-22,5,2,8,"price too high relative to usage"
a_1010,u_2010,2026-02-20,2026-05-06,starter,468,1,0.39,paid-search,sdr-lead,false,,false,2026-02-28,0,0,2,"too complicated"
a_1011,u_2011,2026-02-22,2026-05-07,starter,468,2,0.83,organic,sdr-lead,true,1,true,2026-05-01,3,1,8,"team consolidated tools"
a_1012,u_2012,2026-02-25,2026-05-07,starter,468,1,0.32,paid-search,marketer-led,false,,false,2026-03-01,0,0,3,"not what I expected"
a_1013,u_2013,2026-03-01,2026-05-08,starter,468,1,0.40,paid-search,marketer-led,false,,false,2026-03-08,0,1,2,"never figured out how to use it"
a_1014,u_2014,2026-03-04,2026-05-08,team,1188,4,0.89,referral,founder-led,true,1,true,2026-05-01,4,2,7,"champion left the company"
a_1015,u_2015,2026-03-05,2026-05-08,starter,468,1,0.31,paid-search,marketer-led,false,,false,2026-03-12,0,1,3,"too complicated"
a_1016,u_2016,2026-03-08,2026-05-08,starter,468,2,0.81,organic,sdr-lead,true,1,true,2026-04-29,2,2,7,"price too high relative to usage"
a_1017,u_2017,2026-03-10,2026-05-08,starter,468,1,0.38,paid-search,sdr-lead,false,,false,2026-03-15,0,0,3,"not what I expected"
a_1018,u_2018,2026-03-12,2026-05-08,team,1188,5,0.87,referral,founder-led,true,1,true,2026-05-02,5,1,8,"competitor offered free year"
a_1019,u_2019,2026-03-15,2026-05-08,starter,468,1,0.33,paid-search,marketer-led,false,,false,2026-03-22,0,0,2,"too complicated"
a_1020,u_2020,2026-03-18,2026-05-08,starter,468,1,0.42,paid-search,marketer-led,false,,false,2026-03-25,0,0,3,"didn't fit my workflow"
