source,date,comment_id,post_id,author_handle,text,sentiment,permalink,reply_to_post_id,competitor_mention,brand_mention,role_signal
linkedin,2026-04-29,c001,linkedin-feed-001,@head-of-sales-1,"We've been chasing the same dashboard for years. The pipeline-coverage view always lies because the cohort definition keeps drifting on us.",neutral,https://linkedin.com/posts/example-001,client-post-22,,client,head of sales
linkedin,2026-04-29,c002,linkedin-feed-001,@cro-anonymous-2,"This. Plus our forecasting model is six steps removed from how reps actually qualify. Garbage in.",negative,https://linkedin.com/posts/example-002,client-post-22,,client,CRO
linkedin,2026-04-30,c003,linkedin-feed-002,@vp-rev-ops-3,"We tried Outreach for two years. Switched to a leaner setup and our seat costs dropped 40 percent without losing reach.",neutral,https://linkedin.com/posts/example-003,client-post-23,outreach,client,VP RevOps
linkedin,2026-04-30,c004,linkedin-feed-002,@sdr-manager-4,"How is the new tool with multi-channel sequences? That's where Outreach was strongest for us.",neutral,https://linkedin.com/posts/example-004,client-post-23,outreach,,SDR Manager
linkedin,2026-05-01,c005,linkedin-feed-003,@head-of-marketing-5,"The hook in this post landed because it named the rep's friction not the manager's dashboard. Most B2B copy gets this exactly backwards.",positive,https://linkedin.com/posts/example-005,client-post-24,,client,head of marketing
linkedin,2026-05-01,c006,linkedin-feed-003,@founder-rb2b-6,"Same energy as our outbound thesis. Frontline rep voice beats VP voice on every social surface I've tested.",positive,https://linkedin.com/posts/example-006,client-post-24,,,founder
x,2026-05-02,c007,x-thread-007,@growth-lead-7,"The teardown angle in tweet 3 of this thread is the move. They didn't pitch the product they pitched the change in buyer behavior.",positive,https://x.com/example/status/007,client-post-25,,client,growth lead
x,2026-05-02,c008,x-thread-007,@hubspot-pmm-8,"Curious how this maps to category-leader posture vs challenger posture. Same play different result?",neutral,https://x.com/example/status/008,client-post-25,hubspot,client,PMM
x,2026-05-03,c009,x-single-008,@indie-saas-founder-9,"We're a 14-person team and we just need a sales motion that doesn't break in week 2. Saas-labs's vertical playbook is the closest thing we found.",positive,https://x.com/example/status/009,client-post-26,,client,founder
x,2026-05-03,c010,x-single-008,@operator-jan-10,"That vertical playbook saved us 30 hours of consulting fees. Worth a deeper read.",positive,https://x.com/example/status/010,client-post-26,,client,operator
linkedin,2026-05-04,c011,linkedin-feed-004,@enterprise-ae-11,"Salesloft's rhythm cadence is fine but the AI summarization is half a step behind. The newer entrants are eating that lunch.",negative,https://linkedin.com/posts/example-011,client-post-27,salesloft,,enterprise AE
linkedin,2026-05-04,c012,linkedin-feed-004,@coach-revops-12,"We replaced both Outreach and Gong this quarter and the consolidation argument held up. Two contracts smaller. Same pipeline coverage.",positive,https://linkedin.com/posts/example-012,client-post-27,outreach,,RevOps coach
tiktok,2026-05-05,c013,tiktok-013,@founder-creator-13,"The 1.5 second hook on this clip nailed the friction. 'Your CRM thinks every deal is the same' is the line.",positive,https://tiktok.com/@example/video/013,client-post-28,,client,founder
tiktok,2026-05-05,c014,tiktok-013,@startup-vp-14,"Felt this. Three quarters of our reporting is rebuilt every monday because the categories drift.",positive,https://tiktok.com/@example/video/014,client-post-28,,,VP
linkedin,2026-05-05,c015,linkedin-feed-005,@trolling-15,"Just another saas tool with a fancy dashboard. Pass.",negative,https://linkedin.com/posts/example-015,client-post-29,,client,unknown
linkedin,2026-05-06,c016,linkedin-feed-006,@enterprise-cro-16,"Gong's capture is still the best. Coaching layer is where most tools fall apart.",neutral,https://linkedin.com/posts/example-016,client-post-30,gong,,CRO
linkedin,2026-05-06,c017,linkedin-feed-006,@frontline-ae-17,"Honestly Gong's UI is starting to feel old. The new generation of tools have better mobile and faster summaries.",neutral,https://linkedin.com/posts/example-017,client-post-30,gong,,frontline AE
x,2026-05-07,c018,x-thread-018,@b2b-influencer-18,"Best part of this thread is the data point in tweet 4. Not many B2B teams share their actual conversion numbers like this.",positive,https://x.com/example/status/018,client-post-31,,client,influencer
x,2026-05-07,c019,x-thread-018,@principal-engineer-19,"Genuine question: how do you maintain this cadence without burning out the writing capacity? That's the part most teams hide.",neutral,https://x.com/example/status/019,client-post-31,,client,principal engineer
linkedin,2026-05-08,c020,linkedin-feed-007,@vp-pmm-20,"Apollo is good for prospecting. Bad for orchestration. The split shows up around month 4.",neutral,https://linkedin.com/posts/example-020,client-post-32,apollo,,VP PMM
linkedin,2026-05-08,c021,linkedin-feed-007,@scaleup-cmo-21,"We pulled Apollo six months in. Replaced the orchestration layer with an internal tool. Saved $40K and we're not looking back.",positive,https://linkedin.com/posts/example-021,client-post-32,apollo,,CMO
linkedin,2026-05-08,c022,linkedin-feed-007,@frontline-rep-22,"Pipeline coverage that doesn't lie. That's the real product. Everything else is a wrapper.",positive,https://linkedin.com/posts/example-022,client-post-32,,client,frontline rep
linkedin,2026-05-08,c023,linkedin-feed-008,@indie-creator-23,"This thread on the rep's friction landed because it didn't try to sell. It just named what the cohort already knows.",positive,https://linkedin.com/posts/example-023,client-post-33,,client,creator
linkedin,2026-05-08,c024,linkedin-feed-008,@startup-cs-24,"Our customers say the same thing. The reporting category drift is the silent killer.",positive,https://linkedin.com/posts/example-024,client-post-33,,client,CS lead
linkedin,2026-05-08,c025,linkedin-feed-008,@trolling-25,"Buy my course about saas marketing!",negative,https://linkedin.com/posts/example-025,client-post-33,,,unknown
